nzft_id,entity,entity_clean,transition_plan,coalitions,country_cpi,region_cpi,entity_sector_cpi,entity_subsector_cpi,aum_quartile,aum_or_total_assets
NZFT_00020,accel-kkr,Accel-KKR,False,,United States of America,US & Canada,"PE, VC, and Hedge Fund",Private Equity and Venture Capital,Medium-small,14110.0
NZFT_00021,accident compensation corporation,Accident Compensation Corporation,False,"PAAO, PRI",New Zealand,Other Oceania,Insurer,Insurance,Medium-large,33000.0
NZFT_00023,achmea,Achmea,True,"PCAF, PRI, PSI",Netherlands,Western Europe,Insurer,Insurance,Large,177203.0
NZFT_00024,achmea investment management,Achmea Investment Management,True,"NZAM, CA100, PRI",Netherlands,Western Europe,Asset Manager,Asset Manager,Large,206000.0
NZFT_00025,acore capital,Acore Capital,False,,United States of America,US & Canada,"PE, VC, and Hedge Fund",Private Equity and Venture Capital,Medium-large,21169.0
NZFT_00027,actis llp,Actis ,False,"NZAM, PRI",United Kingdom,Western Europe,"PE, VC, and Hedge Fund",Private Equity and Venture Capital,Medium-small,15300.0
NZFT_00028,active super,Active Super,False,PRI,Australia,Other Oceania,Asset Owner,Pension Fund,Medium-small,9995.0
NZFT_00029,adams street partners,Adams Street Partners,False,PRI,United States of America,US & Canada,Asset Manager,Asset Manager,Medium-large,52536.0
NZFT_00030,addenda capital,Addenda Capital,False,"NZAM, CA100, IFRS, PRI",Canada,US & Canada,Asset Manager,Asset Manager,Medium-large,25243.0
NZFT_00031,aditya birla sun life mutual,Aditya Birla Sun Life Mutual,False,,India,South Asia,Asset Manager,Asset Manager,Medium-large,39531.0
NZFT_00032,adrian lee & partners,Adrian Lee & Partners,False,PRI,United Kingdom,Western Europe,Asset Manager,Asset Manager,Medium-small,17000.0
NZFT_00033,advent international,Advent International,False,PRI,United States of America,US & Canada,"PE, VC, and Hedge Fund",Private Equity and Venture Capital,Medium-large,52939.0
NZFT_00034,aegon,Aegon,True,"NZAOA, PRI, PSI",Netherlands,Western Europe,Insurer,Insurance,Large,343619.0
NZFT_00035,aegon asset management,Aegon Asset Management,False,"NZAM, PRI",Netherlands,Western Europe,Asset Manager,Asset Manager,Large,113533.0
NZFT_00036,affiliated managers group,Affiliated Managers Group,False,,United States of America,US & Canada,Asset Manager,Asset Manager,Large,707900.0
NZFT_00038,afore azteca,Afore Azteca,False,,Mexico,Latin America & Caribbean,Asset Owner,Pension Fund,Medium-small,7667.0
NZFT_00039,afore citibanamex,Afore Citibanamex,False,,Mexico,Latin America & Caribbean,Asset Owner,Pension Fund,Medium-large,55293.0
NZFT_00040,afore copp (pensiones para el retiro),Afore Copp (Pensiones Para el Retiro),False,,Mexico,Latin America & Caribbean,Asset Owner,Pension Fund,Medium-large,26456.0
NZFT_00041,afore inbursa,Afore Inbursa,False,,Mexico,Latin America & Caribbean,Asset Owner,Pension Fund,Medium-small,7292.0
NZFT_00042,afore invercap,Afore InverCap,False,,Mexico,Latin America & Caribbean,Asset Owner,Pension Fund,Medium-small,10594.0
NZFT_00043,afore pensionissste,Afore Pensionissste,False,,Mexico,Latin America & Caribbean,Asset Owner,Pension Fund,Medium-large,23500.0
NZFT_00044,afore principal,Afore Principal,False,,Mexico,Latin America & Caribbean,Asset Owner,Pension Fund,Medium-large,19756.0
NZFT_00045,afore profuturo gnp,Afore Profuturo GNP,False,PRI,Mexico,Latin America & Caribbean,Asset Owner,Pension Fund,Medium-large,62935.0
NZFT_00046,afore sura,Afore Sura,False,PRI,Mexico,Latin America & Caribbean,Asset Owner,Pension Fund,Medium-large,54621.0
NZFT_00047,afore xxi banorte,Afore XXI Banorte,False,"CA100, PRI",Mexico,Latin America & Caribbean,Asset Owner,Pension Fund,Medium-large,68826.0
NZFT_00048,afp capital s.a.,AFP Capital,False,PRI,Chile,Latin America & Caribbean,Asset Owner,Pension Fund,Medium-large,37000.0
NZFT_00049,afp cuprum s.a.,AFP Cuprum,False,,Chile,Latin America & Caribbean,Asset Owner,Pension Fund,Medium-large,35000.0
NZFT_00050,afp habitat s.a.,AFP Habitat,False,,Chile,Latin America & Caribbean,Asset Owner,Pension Fund,Medium-large,52000.0
NZFT_00051,afp provida s.a.,AFP Provida,False,PRI,Chile,Latin America & Caribbean,Asset Owner,Pension Fund,Medium-large,41000.0
NZFT_00053,ageas,Ageas,False,"NZAOA, PRI, PSI",Belgium,Western Europe,Insurer,Insurance,Large,90538.0
NZFT_00054,agf management,AGF Management,False,IFRS,Canada,US & Canada,Asset Manager,Asset Manager,Medium-large,37245.0
NZFT_00056,agirc-arrco,Agirc-Arrco,False,,France,Western Europe,Asset Owner,Pension Fund,Large,74725.0
NZFT_00057,agricultural bank of china,Agricultural Bank of China,False,PRB,China,East Asia and Pacific,Bank,Commercial Bank,Large,5550320.0
NZFT_00059,aib group plc,AIB Group Plc,False,"NZBA, PRB",Ireland,Western Europe,Bank,Universal Bank,Large,146210.0
NZFT_00060,aib group uk pension scheme,AIB Group UK Pension Scheme,False,,United Kingdom,Western Europe,Asset Owner,Pension Fund,Medium-small,6020.0
NZFT_00063,aip management,AIP Management,False,NZAM,Denmark,Western Europe,Asset Manager,Asset Manager,Medium-small,8000.0
NZFT_00064,air canada pension plan,Air Canada Pension Plan,False,,Canada,US & Canada,Asset Owner,Pension Fund,Medium-small,15059.0
NZFT_00065,akademikerpension,AkademikerPension,False,"NZAOA, CA100, CIC, PRI",Denmark,Western Europe,Asset Owner,Pension Fund,Medium-large,22687.0
NZFT_00066,akbank,Akbank,True,"NZBA, PRB",Turkey,Central Asia and Eastern Europe,Bank,Commercial Bank,Large,81941.0
NZFT_00067,aktia bank plc,Aktia Bank ,False,"NZAM, CA100, PRB, PRI",Finland,Western Europe,Bank,Universal Bank,Medium-small,14471.0
NZFT_00070,alameda county employees' retirement association (acera),Alameda County Employees' Retirement Association (ACERA),False,,United States of America,US & Canada,Asset Owner,Pension Fund,Medium-small,10900.0
NZFT_00071,alan biller and associates,Alan Biller and Associates,False,,United States of America,US & Canada,Asset Manager,Asset Manager,Medium-large,59354.0
NZFT_00072,alaska permanent fund,Alaska Permanent Fund,False,,United States of America,US & Canada,Asset Owner,Sovereign Wealth Fund,Large,85083.0
NZFT_00073,alaska retirement management board (armb),Alaska Retirement Management Board (ARMB),False,,United States of America,US & Canada,Asset Owner,Pension Fund,Medium-large,39225.0
NZFT_00074,alberta investment management corporation,Alberta Investment Management Corporation,False,"CA100, IFRS, PRI",Canada,US & Canada,Asset Owner,Sovereign Wealth Fund,Large,158000.0
NZFT_00076,alberta public service pension plan,Alberta Public Service Pension Plan,False,,Canada,US & Canada,Asset Owner,Pension Fund,Medium-small,13624.0
NZFT_00078,alberta teachers’ retirement fund board,Alberta Teachers’ Retirement Fund Board,False,,Canada,US & Canada,Asset Owner,Pension Fund,Medium-small,16911.0
NZFT_00080,alecta,Alecta,False,"NZAOA, A4S",Sweden,Western Europe,Asset Owner,Pension Fund,Large,110604.0
NZFT_00081,alexander forbes,Alexander Forbes,False,,South Africa,Sub-Saharan Africa,Asset Manager,Asset Manager,Large,136386.0
NZFT_00082,algebris investments,Algebris Investments,False,NZAM,United Kingdom,Western Europe,Asset Manager,Asset Manager,Medium-small,14328.0
NZFT_00083,algemeen pensioenfonds klm pension fund,Algemeen Pensioenfonds KLM Pension Fund,False,,Netherlands,Western Europe,Asset Owner,Pension Fund,Medium-small,12033.0
NZFT_00084,alger associates,Alger Associates,False,,United States of America,US & Canada,Asset Manager,Asset Manager,Medium-large,21698.0
NZFT_00085,allan gray proprietary,Allan Gray Proprietary,False,PRI,South Africa,Sub-Saharan Africa,Asset Manager,Asset Manager,Medium-large,21148.0
NZFT_00086,alliancebernstein,AllianceBernstein,False,"NZAM, PRI",United States of America,US & Canada,Asset Manager,Asset Manager,Large,792200.0
NZFT_00088,allianz global investors,Allianz Global Investors,False,"NZAM, CA100, PRI",Germany,Western Europe,Asset Manager,Asset Manager,Large,546047.0
NZFT_00089,allianz pensionskasse ag,Allianz Pensionskasse ,False,,Austria,Western Europe,Asset Owner,Pension Fund,Medium-small,16722.0
NZFT_00091,allianz retraite,Allianz Retraite,False,,France,Western Europe,Asset Owner,Pension Fund,Medium-small,14583.0
NZFT_00092,allianz se,Allianz,True,"NZAOA, PCAF, PRI, PSI",Germany,Western Europe,Insurer,Insurance,Large,2533676.0
NZFT_00094,allianz zb d.o.o.,Allianz ZB D.O.O.,False,,Croatia,Central Asia and Eastern Europe,Asset Owner,Pension Fund,Medium-small,8334.0
NZFT_00095,allianz-tiriac pensii,Allianz-Tiriac Pensii,False,,Romania,Central Asia and Eastern Europe,Asset Owner,Pension Fund,Medium-small,5280.0
NZFT_00097,allspring global investments,Allspring Global Investments,False,"IFRS, PRI",United States of America,US & Canada,Asset Manager,Asset Manager,Large,558464.0
NZFT_00098,alpha bank,Alpha Bank,False,"NZBA, PCAF, PRB",Greece,Western Europe,Bank,Commercial Bank,Large,79903.0
NZFT_00100,alphafixe capital,Alphafixe Capital,False,"NZAM, PRI",Canada,US & Canada,Asset Manager,Asset Manager,Medium-small,9811.0
NZFT_00101,alphinity investment management,Alphinity Investment Management,False,"NZAM, CA100, PRI",Australia,Other Oceania,Asset Manager,Asset Manager,Medium-small,11280.0
NZFT_00103,alte leipziger group,Alte Leipziger Group,False,,Germany,Western Europe,Insurer,Insurance,Medium-large,40901.0
NZFT_00105,amalgamated bank,Amalgamated Bank,True,"NZBA, PCAF, PRB, PRI",United States of America,US & Canada,Bank,Commercial Bank,Medium-small,13439.0
NZFT_00106,american bar association retirement plan,American Bar Association Retirement Plan,False,,United States of America,US & Canada,Asset Owner,Pension Fund,Medium-small,6700.0
NZFT_00107,american century,American Century,False,PRI,United States of America,US & Canada,Asset Manager,Asset Manager,Large,229554.0
NZFT_00109,american international group (aig),American International Group (AIG),False,,United States of America,US & Canada,Insurer,Insurance,Large,161322.0
NZFT_00110,american realty advisors,American Realty Advisors,False,PRI,United States of America,US & Canada,Asset Manager,Asset Manager,Medium-small,11100.0
NZFT_00111,ameriprise financial,Ameriprise Financial,False,,United States of America,US & Canada,Asset Manager,Asset Manager,Large,1170800.0
NZFT_00112,amf pension,AMF Pension,False,"NZAOA, CA100, PRI",Sweden,Western Europe,Asset Owner,Pension Fund,Large,69520.0
NZFT_00113,amp capital,AMP Capital,False,,Australia,Other Oceania,Asset Manager,Asset Manager,Large,91784.0
NZFT_00114,amp super fund,AMP Super Fund,False,,Australia,Other Oceania,Asset Owner,Pension Fund,Medium-large,37313.0
NZFT_00115,amp wealth management new zealand,AMP Wealth Management New Zealand,False,"NZAM, PRI",New Zealand,Other Oceania,Asset Manager,Asset Manager,Large,86465.0
NZFT_00116,amundi,Amundi,False,"NZAM, CA100, PPCA, PRI",France,Western Europe,Asset Manager,Asset Manager,Large,2001687.0
NZFT_00119,anchorage capital group,Anchorage Capital Group,False,PRI,United States of America,US & Canada,"PE, VC, and Hedge Fund",Hedge Fund,Medium-large,26800.0
NZFT_00120,andreessen horowitz,Andreessen Horowitz,False,,United States of America,US & Canada,"PE, VC, and Hedge Fund",Private Equity and Venture Capital,Medium-large,28172.0
NZFT_00121,angel oak capital,Angel Oak Capital,False,"NZAM, PRI",United States of America,US & Canada,Asset Manager,Asset Manager,Medium-small,17252.0
NZFT_00122,"angelo, gordon","Angelo, Gordon",False,,United States of America,US & Canada,"PE, VC, and Hedge Fund",Private Equity and Venture Capital,Medium-large,53000.0
NZFT_00124,anima holding,Anima Holding,False,,Italy,Western Europe,Asset Manager,Asset Manager,Large,211347.0
NZFT_00126,anz group holdings limited,ANZ Group Holdings Limited,True,"NZBA, PRB, PRI",Australia,Other Oceania,Bank,Universal Bank,Large,805800.0
NZFT_00127,aon plc,AON,True,"PRI, PSI",United Kingdom,Western Europe,Asset Owner,Pension Fund,Medium-large,48965.0
NZFT_00128,ap pension,AP Pension,False,"PAAO, CIC, PRI",Denmark,Western Europe,Asset Owner,Pension Fund,Medium-large,19911.0
NZFT_00129,ap2,Andra AP-fonden (AP2),True,"PAAO, PRI",Sweden,Western Europe,Asset Owner,Pension Fund,Medium-large,40433.0
NZFT_00130,ap7,Sjunde AP-fonden (AP7),True,"PAAO, CA100, PRI",Sweden,Western Europe,Asset Owner,Pension Fund,Large,73875.0
NZFT_00131,apax partners,Apax Partners,False,PRI,United Kingdom,Western Europe,"PE, VC, and Hedge Fund",Private Equity and Venture Capital,Medium-large,25816.0
NZFT_00132,apf,APF,False,,Netherlands,Western Europe,Asset Owner,Pension Fund,Medium-small,6549.0
NZFT_00133,apg asset management,APG Asset Management,True,"NZAM, CA100, IFRS, PRI",Netherlands,Western Europe,Asset Manager,Asset Manager,Large,616000.0
NZFT_00134,apk,APK,False,,Austria,Western Europe,Asset Owner,Pension Fund,Medium-small,7299.0
NZFT_00135,apollo global management,Apollo Global Management,False,"IFRS, PCAF, PRI",United States of America,US & Canada,"PE, VC, and Hedge Fund",Private Equity and Venture Capital,Large,751037.0
NZFT_00137,appaloosa management,Appaloosa Management,False,,United States of America,US & Canada,"PE, VC, and Hedge Fund",Hedge Fund,Medium-small,16500.0
NZFT_00138,arbejdsmarkedets tillaegspension (atp),Arbejdsmarkedets Tillaegspension (ATP),False,,Denmark,Western Europe,Asset Owner,Pension Fund,Large,120548.0
NZFT_00139,arbevel,Arbevel,False,NZAM,France,Western Europe,Asset Manager,Asset Manager,Medium-small,6210.0
NZFT_00140,arca sgr,Arca Fondi,False,,Italy,Western Europe,Asset Manager,Asset Manager,Medium-large,37017.0
NZFT_00142,architektenkammer baden-wuerttemberg (vwda),Architektenkammer Baden-Wuerttemberg (VWDA),False,,Germany,Western Europe,Asset Owner,Pension Fund,Medium-small,6575.0
NZFT_00143,architektenkammer nordrhein-westfalen,Architektenkammer Nordrhein-Westfalen,False,,Germany,Western Europe,Asset Owner,Pension Fund,Medium-small,14484.0
NZFT_00144,ardea investment management,Ardea Investment Management,False,PRI,Australia,Other Oceania,Asset Manager,Asset Manager,Medium-small,15003.0
NZFT_00145,ardian,Ardian,False,PRI,France,Western Europe,"PE, VC, and Hedge Fund",Private Equity and Venture Capital,Large,141000.0
NZFT_00146,ares management,Ares Management,True,"PCAF, PRI",United States of America,US & Canada,"PE, VC, and Hedge Fund",Private Equity and Venture Capital,Large,484446.0
NZFT_00148,ariel investments,Ariel Investments,False,"IFRS, PRI",United States of America,US & Canada,Asset Manager,Asset Manager,Medium-small,16185.0
NZFT_00149,arion bank,Arion Bank,False,"NZBA, PCAF, PRB, PRI",Iceland,Western Europe,Bank,Universal Bank,Medium-small,11743.0
NZFT_00151,aristotle,Aristotle,False,,United States of America,US & Canada,Asset Manager,Asset Manager,Medium-small,14900.0
NZFT_00153,arizona public safety personnel retirement system (psprs arizona),Arizona Public Safety Personnel Retirement System (PSPRS Arizona),False,,United States of America,US & Canada,Asset Owner,Pension Fund,Medium-large,20540.0
NZFT_00154,arizona state retirement system (asrs),Arizona State Retirement System (ASRS),False,,United States of America,US & Canada,Asset Owner,Pension Fund,Medium-large,50678.0
NZFT_00157,arkansas public employees retirement system (apers),Arkansas Public Employees Retirement System (APERS),False,,United States of America,US & Canada,Asset Owner,Pension Fund,Medium-small,10400.0
NZFT_00158,arkansas teacher retirement system (atrs),Arkansas Teacher Retirement System (ATRS),False,,United States of America,US & Canada,Asset Owner,Pension Fund,Medium-large,20745.0
NZFT_00160,arrowstreet capital,Arrowstreet Capital,False,,United States of America,US & Canada,Asset Manager,Asset Manager,Large,216586.0
NZFT_00161,artemis investment management llp,Artemis Investment Management ,False,"NZAM, CA100, IFRS, PRI",United Kingdom,Western Europe,Asset Manager,Asset Manager,Medium-large,34800.0
NZFT_00162,artisan partners,Artisan Partners,False,"IFRS, PRI",United States of America,US & Canada,Asset Manager,Asset Manager,Large,161208.0
NZFT_00163,asahi mutual life insurance,Asahi Mutual Life Insurance,False,PRI,Japan,East Asia and Pacific,Insurer,Insurance,Large,174754.0
NZFT_00164,asga pensionkasse,Asga Pensionkasse,False,,Switzerland,Western Europe,Asset Owner,Pension Fund,Medium-small,17070.0
NZFT_00165,asgard independence plan,Asgard Independence Plan,False,,Australia,Other Oceania,Asset Owner,Pension Fund,Medium-large,44642.0
NZFT_00167,ashmore group plc,Ashmore Group ,False,"NZAM, CA100, PRI",United Kingdom,Western Europe,Asset Manager,Asset Manager,Medium-large,61703.0
NZFT_00168,asr nederland n.v.,ASR Nederland ,True,"PRI, PSI",Netherlands,Western Europe,Insurer,Insurance,Large,69920.0
NZFT_00169,asset management one co. ltd.,Asset Management One ,False,"NZAM, CA100, IFRS, PRI",Japan,East Asia and Pacific,Asset Manager,Asset Manager,Large,431000.0
NZFT_00170,associated british foods pension trustees limited,Associated British Foods Pension Trustees Limited,False,,United Kingdom,Western Europe,Asset Owner,Pension Fund,Medium-small,5229.0
NZFT_00171,asteria investment managers,Asteria Investment Managers,False,,Switzerland,Western Europe,Asset Manager,Asset Manager,Large,160000.0
NZFT_00172,astorg,Astorg,False,NZAM,France,Western Europe,"PE, VC, and Hedge Fund",Private Equity and Venture Capital,Medium-large,18013.0
NZFT_00174,atlas infrastructure,Atlas Infrastructure,False,"NZAM, CA100, PRI",United Kingdom,Western Europe,Asset Manager,Asset Manager,Medium-small,7800.0
NZFT_00177,australian ethical super,Australian Ethical Super,False,,Australia,Other Oceania,Asset Owner,Pension Fund,Medium-small,4997.0
NZFT_00179,australian retirement trust,Australian Retirement Trust,False,"CA100, PRI",Australia,Other Oceania,Asset Owner,Pension Fund,Large,175903.0
NZFT_00180,australiansuper,Australiansuper,False,"CA100, IFRS, PRI",Australia,Other Oceania,Asset Owner,Pension Fund,Large,207219.0
NZFT_00181,avanteos superannuation trust,Avanteos Superannuation Trust,False,,Australia,Other Oceania,Asset Owner,Pension Fund,Medium-small,7996.0
NZFT_00183,aviva investors,Aviva Investors,True,"NZAM, CA100, PCAF, PRI",United Kingdom,Western Europe,Asset Manager,Asset Manager,Large,266392.0
NZFT_00184,aviva plc,Aviva Plc,True,"NZAOA, IFRS, PCAF, PPCA, PSI",United Kingdom,Western Europe,Insurer,Insurance,Large,225000.0
NZFT_00185,avon pension fund,Avon Pension Fund,True,PAAO,United Kingdom,Western Europe,Asset Owner,Pension Fund,Medium-small,6736.0
NZFT_00187,aware super,Aware Super,True,"CA100, PRI",Australia,Other Oceania,Asset Owner,Pension Fund,Large,109273.0
NZFT_00188,axa,AXA,True,"NZAOA, CPLC, PRI, PSI",France,Western Europe,Insurer,Insurance,Large,978596.0
NZFT_00189,axa im alts,AXA IM Alternatives,False,,France,Western Europe,"PE, VC, and Hedge Fund",Private Equity and Venture Capital,Medium-small,12781.0
NZFT_00190,axa investment managers,AXA Investment Managers,False,"NZAM, CA100, IFRS, PPCA, PRI",France,Western Europe,Asset Manager,Asset Manager,Large,90193.0
NZFT_00191,axa retraite entreprise,AXA Retraite Entreprise,False,,France,Western Europe,Asset Owner,Pension Fund,Medium-small,9083.0
NZFT_00192,axiom investors,Axiom Investors,False,"CA100, PRI",United States of America,US & Canada,Asset Manager,Asset Manager,Medium-small,16581.0
NZFT_00193,axis mutual fund,Axis Mutual Fund,False,,India,South Asia,Asset Manager,Asset Manager,Medium-large,31180.0
NZFT_00194,axium infrastructure,Axium Infrastructure,True,"NZAM, PCAF, PRI",Canada,US & Canada,Asset Manager,REIT,Medium-small,8200.0
NZFT_00195,az mandatory pension fund category b,AZ Mandatory Pension Fund Category B,False,,Croatia,Central Asia and Eastern Europe,Asset Owner,Pension Fund,Medium-small,6435.0
NZFT_00196,azerbaijan investment holding (aih),Azerbaijan Investment Holding (AIH),False,,Azerbaijan,Central Asia and Eastern Europe,Asset Owner,Sovereign Wealth Fund,Medium-large,26000.0
NZFT_00197,aéma groupe,Aéma Groupe,False,"NZAOA, PRI",France,Western Europe,Insurer,Insurance,Large,195329.0
NZFT_00198,"b-w ärzte, zahnärzte und tierärzte","B-W Ärzte, Zahnärzte und Tierärzte",False,,Germany,Western Europe,Asset Owner,Pension Fund,Medium-large,17734.0
NZFT_00199,b.s. pension fund trustee limited,B.S. Pension Fund Trustee Limited,False,,United Kingdom,Western Europe,Asset Owner,Pension Fund,Medium-small,12842.0
NZFT_00201,bac credomatic,BAC Credomatic,False,"NZBA, PRB",Costa Rica,Latin America & Caribbean,Bank,Commercial Bank,Medium-large,34503.0
NZFT_00202,bahl & gaynor,Bahl & Gaynor,False,,United States of America,US & Canada,Asset Manager,Asset Manager,Medium-small,17103.0
NZFT_00203,baillie gifford,Baillie Gifford,True,PRI,United Kingdom,Western Europe,Asset Manager,Asset Manager,Large,268705.0
NZFT_00205,baiterek,Baiterek,False,,Kazakhstan,Central Asia and Eastern Europe,Asset Owner,Sovereign Wealth Fund,Medium-large,22000.0
NZFT_00206,bakkersbedrijfs bpf,Bakkersbedrijf BPF,False,,Netherlands,Western Europe,Asset Owner,Pension Fund,Medium-small,5389.0
NZFT_00208,baloise asset management,Baloise Asset Management,True,PRI,Switzerland,Western Europe,Asset Manager,Asset Manager,Medium-large,65551.0
NZFT_00209,baloise perspectiva collective foundation bvg,Baloise Perspectiva Collective Foundation BVG,False,,Switzerland,Western Europe,Asset Owner,Pension Fund,Large,99139.0
NZFT_00213,balyasny asset management,Balyasny Asset Management,False,,United States of America,US & Canada,"PE, VC, and Hedge Fund",Hedge Fund,Medium-large,21000.0
NZFT_00214,banca ifis,Banca Ifis,False,NZBA,Italy,Western Europe,Bank,Universal Bank,Medium-large,23544.0
NZFT_00215,banca monte dei paschi di siena s.p.a.,Banca Monte dei Paschi di Siena ,False,"NZBA, PRB",Italy,Western Europe,Bank,Universal Bank,Medium-large,62021.0
NZFT_00216,banca popolare di sondrio società per azioni,Banca Popolare di Sondrio,False,"NZBA, PRB",Italy,Western Europe,Bank,Commercial Bank,Medium-large,58610.0
NZFT_00217,banco bpm,Banco BPM,False,NZBA,Italy,Western Europe,Bank,Universal Bank,Medium-large,22921.0
NZFT_00218,banco bradesco s.a.,Banco Bradesco,False,"NZBA, PCAF, PRB",Brazil,Latin America & Caribbean,Bank,Universal Bank,Large,205032.0
NZFT_00219,banco davivienda,Banco Davivienda,True,"NZBA, PCAF, PRB, PRI",Colombia,Latin America & Caribbean,Bank,Universal Bank,Medium-large,38250.0
NZFT_00220,banco de bogotá s.a,Banco de Bogotá,True,"NZBA, PCAF, PRB",Colombia,Latin America & Caribbean,Bank,Commercial Bank,Medium-large,31116.0
NZFT_00222,banco de crédito social cooperativo (grupo cooperative cajamar),Banco de Crédito Social Cooperativo (Grupo Cooperative Cajamar),False,"NZBA, PCAF, PRB",Spain,Western Europe,Bank,Universal Bank,Medium-large,64381.0
NZFT_00224,banco do brasil,Banco do Brasil,True,,Brazil,Latin America & Caribbean,Bank,Commercial Bank,Large,270801.0
NZFT_00225,"banco mercantil del norte, s.a. institución de banca multiple grupo financiero banorte.",Banco Mercantil del Norte,False,"NZBA, PRB",Mexico,Latin America & Caribbean,Bank,Universal Bank,Medium-large,66210.0
NZFT_00226,banco pichincha c.a.,Banco Pichincha ,False,"NZBA, PCAF, PRB",Ecuador,Latin America & Caribbean,Bank,Universal Bank,Medium-small,15500.0
NZFT_00227,banco promerica (costa rica),Banco Promerica (Costa Rica),False,"NZBA, PCAF, PRB",Costa Rica,Latin America & Caribbean,Bank,Universal Bank,Medium-large,40100.0
NZFT_00228,banco sabadell s.a.,Banco Sabadell ,True,"NZBA, PCAF, PRB",Spain,Western Europe,Bank,Universal Bank,Large,128583.0
NZFT_00229,banco santander s.a.,Banco Santander,True,"NZBA, PCAF, PRB",Spain,Western Europe,Bank,Universal Bank,Large,238552.0
NZFT_00230,bancoestado,Bancoestado,False,NZBA,Chile,Latin America & Caribbean,Bank,Universal Bank,Medium-large,58200.0
NZFT_00231,bancolombia sa,Bancolombia,False,"NZAM, NZBA, CA100, PCAF, PRB, PRI",Colombia,Latin America & Caribbean,Bank,Investment Bank,Medium-large,60964.0
NZFT_00232,bandhan mutual fund,Bandhan Mutual Fund,False,,India,South Asia,Asset Manager,Asset Manager,Medium-small,16340.0
NZFT_00233,bank degroof petercam,Bank Degroof Petercam,True,PRB,Belgium,Western Europe,Asset Manager,Asset Manager,Medium-large,66861.0
NZFT_00234,bank of america,Bank of America,True,"IFRS, PCAF",United States of America,US & Canada,Bank,Universal Bank,Large,1882211.0
NZFT_00236,bank of beijing co. ltd.,Bank of Beijing,False,PRB,China,East Asia and Pacific,Bank,Commercial Bank,Large,513665.0
NZFT_00237,bank of china investment management,Bank of China Investment Management,False,,China,East Asia and Pacific,Asset Manager,Asset Manager,Large,95308.0
NZFT_00238,bank of china ltd.,Bank of China,False,PRB,China,East Asia and Pacific,Bank,Commercial Bank,Large,4444041.0
NZFT_00239,bank of communications co. ltd.,Bank of Communications,False,,China,East Asia and Pacific,Bank,Commercial Bank,Large,2106000.0
NZFT_00240,bank of england pension fund,Bank of England Pension Fund,False,,United Kingdom,Western Europe,Asset Owner,Pension Fund,Medium-small,6148.0
NZFT_00241,bank of ireland group,Bank of Ireland Group,False,"PCAF, PRB",Ireland,Western Europe,Bank,Commercial Bank,Large,167476.0
NZFT_00242,bank of jiangsu co. ltd.,Bank of Jiangsu ,False,PRB,China,East Asia and Pacific,Bank,Commercial Bank,Large,456630.0
NZFT_00243,bank of montreal,Bank of Montreal,True,,Canada,US & Canada,Bank,Commercial Bank,Large,1044000.0
NZFT_00244,bank of nanjing,Bank of Nanjing,False,PRB,China,East Asia and Pacific,Bank,Commercial Bank,Large,381000.0
NZFT_00245,bank of new york mellon corp.,Bank of New York Mellon,True,,United States of America,US & Canada,Bank,Universal Bank,Large,2029000.0
